Station_code Lat Lon no_of_data_points rms_gps rms_grace rms_diff slope_gps slope_grace slope_diff corr_coeff error_message
BEA5 30.1617218572 -94.1797100997 5 6.091273 2.410682 6.664432 -37.181434 -7.033656 30.147779 -0.051064 0
BELL 41.5996175810 1.4011394474 4 5.580312 2.343241 5.608643 0.129784 -0.594578 -0.724362 0.197835 0
BGIS 33.9671172997 -118.1596950340 56 7.057128 1.807421 7.169194 -2.101028 0.123773 2.224801 0.065561 0
BHR1 26.2091423964 50.6081470274 57 155.113677 1.477681 155.376849 -28.751054 0.707630 29.458684 -0.173486 0
BILB 68.0653125702 166.4533832360 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BILI 68.0761299092 166.4379624918 210 7.358664 1.863835 6.813923 -0.025148 -0.081006 -0.055858 0.408093 0
BILL 33.5782417474 -117.0645966365 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BIS1 56.8544926126 -135.5392957765 41 5.268980 4.811450 4.077666 1.457863 1.036741 -0.421122 0.676191 0
BJCO 6.3846649587 2.4500223338 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BJFS 39.6086012487 115.8924854755 301 7.152978 1.797529 7.034842 2.077531 0.083167 -1.994364 0.190828 0
BJNM 40.2453247615 116.2241293557 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BKMS 33.9622570671 -118.0946960158 48 5.232912 1.858113 5.584971 0.599540 0.182651 -0.416890 -0.018304 0
BLKV 37.2060181314 -80.4145266802 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BLSA 33.7995442342 -118.0286793849 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BLWY 42.7671276323 -109.5577999349 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BLYT 33.6104158366 -114.7148493700 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BMHL 34.2514454404 -116.0529770823 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BMRY 33.9626819083 -116.9846997818 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BOGO 52.4759468102 21.0353416951 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BOGT 4.6400727397 -74.0809395735 302 119.003388 3.090231 119.161466 -47.996803 0.079194 48.075997 -0.038204 0
BOMJ -13.2555569211 -43.4217357084 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BOR1 52.2769565039 17.0734558371 308 5.570736 2.453776 4.478313 -0.282855 -0.092656 0.190199 0.621787 0
BRAN 34.1848929917 -118.2770455388 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BRAS 44.1221647365 11.1130826116 44 4.788273 1.743089 4.593636 0.966246 0.214736 -0.751510 0.291409 0
BRAZ -15.9474749630 -47.8778690538 292 10.082603 7.774737 5.025965 -1.777170 -0.926910 0.850261 0.872853 0
BREW 48.1315238446 -119.6826340024 307 6.054820 4.062236 3.891849 -1.148012 -0.311950 0.836062 0.772808 0
BRFT -3.8774463759 -38.4255374039 162 6.341892 3.612313 4.987385 -0.706510 -0.732456 -0.025945 0.619724 0
BRIB 37.9194042485 -122.1525498737 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BRIG 42.5201022492 -83.7566569890 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BRMU 32.3703985120 -64.6962727953 298 4.466870 1.598059 5.020115 -0.139214 0.093519 0.232732 -0.188758 0
BRST 48.3804928361 -4.4965957074 1 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BRU1 43.8898163595 -69.9465742940 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BRUS 50.7978177312 4.3592186653 309 5.087411 2.116631 4.359524 0.773420 0.167155 -0.606265 0.527315 0
BRUX 50.7980638094 4.3585652505 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BSAT -3.0766906124 100.2845642898 144 155.001429 1.699612 155.425782 49.056823 -0.288005 -49.344829 -0.244536 0
BSHM 32.7789840080 35.0229824733 32 5.301872 2.309494 4.138431 0.166497 0.151942 -0.014555 0.666291 0
BUCU 44.4639443180 26.1257392531 2 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
BUE1 -34.5737007764 -58.5192993243 91 10.093942 2.293383 9.919846 4.589493 -0.313109 -4.902602 0.188859 0
BUR1 -41.0500633323 145.9148469962 157 4.708695 1.624678 4.940283 -0.526671 0.267842 0.794514 0.026470 0
BZRG 46.4990229406 11.3367952653 1 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CABL 42.8360987040 -124.5633450619 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CACT 33.6551350168 -115.9899504484 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CAGL 39.1359117325 8.9727523011 299 4.156883 1.928101 3.951463 0.057841 -0.030504 -0.088345 0.335824 0
CAGS 45.5850206766 -75.8073275489 46 11.998536 2.235166 12.850605 3.327045 -0.842114 -4.169159 -0.301603 0
CAGZ 39.1358896894 8.9727580210 10 7.969021 3.249389 5.876672 -0.579229 -0.469576 0.109653 0.763263 0
CAME 43.1119851447 13.1239973095 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CAND 35.9393524530 -120.4336950934 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CARR 35.8883498373 -120.4308357167 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CAS1 -66.2833592932 110.5197059271 305 6.117755 2.008706 5.401633 1.407868 0.383584 -1.024284 0.499813 0
CASA 37.6446364374 -118.8966609468 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CASC 38.6934151023 -9.4185208758 305 3.547998 1.673920 3.441022 0.188264 0.071799 -0.116465 0.298840 0
CASL 34.3446481381 -77.8753876493 12 3.803534 1.522653 4.543695 -0.498363 1.316789 1.815152 -0.333234 0
CAST 39.1910227000 -110.6773120986 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CAT1 33.4457703367 -118.4830039284 26 8.852295 1.748476 7.903843 -3.383797 -0.372558 3.011239 0.612144 0
CAT2 33.3116155883 -118.3338139136 77 6.661658 1.810933 6.590683 -1.242592 0.130394 1.372986 0.174906 0
CAYA 17.0485119443 -100.2672532402 49 7.697645 3.065607 7.592786 -14.003666 -0.125935 13.877731 0.233098 0
CBHS 34.1385603348 -118.6298031884 45 4.422643 1.437437 4.617612 -0.924938 0.064375 0.989313 0.023883 0
CCCO 33.8762582895 -118.2111940555 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CCCS 33.8627421126 -117.8649409432 59 7.629868 1.812309 7.664445 -2.071132 0.120060 2.191193 0.099642 0
CCJ2 27.0675319682 142.1950280953 96 5.347673 1.162891 5.453070 3.910080 -0.203316 -4.113396 0.017202 0
CCJM 27.0955822291 142.1845810769 157 5.771624 1.296912 5.679745 -0.270469 -0.193426 0.077043 0.182633 0
CCV1 28.4599230217 -80.5432851452 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CCV2 28.4603764646 -80.5428920962 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CCV3 28.4602276678 -80.5452312052 147 4.143428 2.210722 4.915386 -0.982654 0.590026 1.572680 -0.114942 0
CCV4 28.4599575020 -80.5454767372 8 6.768877 1.781822 5.700296 17.026328 2.922423 -14.103905 0.683994 0
CEDA 40.6806963626 -112.8604794722 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CEDU -31.8666657857 133.8098299735 308 5.538076 1.780120 5.437803 -1.281410 0.063859 1.345270 0.216536 0
CENA 65.4981652337 -144.6776304495 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CFAG -31.6021675224 -68.2326482753 234 3.954419 1.601772 4.009351 -0.176264 0.219356 0.395620 0.167996 0
CGGN 10.1230951825 9.1183123020 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CHA1 32.7575660223 -79.8428737543 4 9.792285 2.605203 10.201285 -7.754555 -4.796054 2.958501 -0.027249 0
CHA2 32.7574710097 -79.8431766183 3 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CHAB 37.7241150374 -122.1193070830 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CHAT -43.9557856919 -176.5658415079 308 3.549962 1.367720 3.772113 -0.305769 0.186221 0.491990 0.025132 0
CHB1 45.6534937151 -84.4656443124 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CHI1 60.2374711065 -146.6469838065 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CHI3 60.2375121156 -146.6465643846 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CHI4 60.2377394382 -146.6465223047 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CHIL 34.3334218339 -118.0259960896 55 4.926061 2.049466 5.014353 -2.160754 -0.039467 2.121287 0.164556 0
CHL1 38.7767876369 -75.0876858170 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CHL2 38.7768662755 -75.0872511145 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CHME 35.2766661831 -80.8890560161 9 3.231808 2.440708 4.111615 2.802826 -1.705216 -4.508042 -0.031931 0
CHMS 34.6404618133 -117.8276997824 2 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CHPI -22.6871454655 -44.9851584921 282 5.914458 4.287350 4.526637 0.269130 -0.601759 -0.870888 0.648170 0
CHR1 36.9270805432 -76.0063681367 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CHT1 41.6712026431 -69.9500452501 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CHTP 34.2567156182 -118.6416478963 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CHUM 42.9985010047 74.7510970303 45 8.930718 2.580221 8.192777 -0.454466 -0.059222 0.395244 0.418641 0
CHUR 58.7590778287 -94.0887272146 293 26.414947 4.280643 30.109511 10.216553 -1.566682 -11.783234 -0.842418 0
CHWK 49.1566085352 -122.0084262348 1 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CHZZ 45.4865153930 -123.9781230729 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CIC1 31.8706778000 -116.6657604962 189 4.926472 1.723040 5.398478 -1.392031 0.167128 1.559159 -0.112185 0
CICE 31.8712630695 -116.6673795655 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CIRX 34.1095521999 -118.9372926980 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CIT1 34.1367072448 -118.1272807096 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CJMS 34.3137987573 -117.4793813374 5 2.739419 0.990956 1.767739 5.496207 1.891336 -3.604871 0.987516 0
CKIS -21.2010268373 -159.8006109254 273 5.317458 1.231724 5.249621 -0.546993 0.094828 0.641822 0.170542 0
CLAR 34.1099268725 -117.7088054201 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CLGO 64.8737767057 -147.8604863948 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CMBB 38.0341765525 -120.3860375047 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CME1 40.4417722238 -124.3963322047 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CMP9 34.3531784172 -118.4114199174 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CNCL -43.6662403224 169.8558542855 281 8.338683 1.816097 7.433762 2.684108 0.375444 -2.308664 0.580137 0
CNMR 15.2296970743 145.7430921037 221 14.784623 1.300229 14.102845 -5.457997 -0.298735 5.159261 0.556235 0
CNPP 33.8576312058 -117.6089169290 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
COCO -12.1883478034 96.8339688149 305 6.464231 1.647009 7.132900 -1.419319 0.384493 1.803813 -0.299594 0
COGA 33.5448591407 -82.1339643332 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
COLA 34.0809950175 -81.1216750379 21 15.318238 2.599341 15.576464 3.264016 -0.294728 -3.558744 -0.015336 0
COLB 39.9597615909 -83.0457704967 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CONO 35.7026376603 -81.2335892952 2 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CONZ -36.8437617033 -73.0254859003 305 23.227910 2.592700 23.503834 -6.977913 0.211192 7.189105 -0.051245 0
COON 40.6525921887 -112.1210094090 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
COPO -27.3845266449 -70.3382363172 258 6.760323 1.786705 6.585377 0.747011 -0.048284 -0.795295 0.228795 0
COPR 34.4149063441 -119.8795227305 6 6.016947 1.541131 5.306400 7.015038 0.962206 -6.052832 0.561899 0
CORB 38.2021827251 -77.3734968570 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CORC 27.7407974738 -97.4416774153 15 5.770074 2.459854 5.025569 -37.121403 -13.874658 23.246744 0.496292 0
CORD -31.5284349995 -64.4700483541 78 4.702756 1.670920 4.718643 0.250186 0.951677 0.701491 0.168130 0
CORV 44.5855357221 -123.3046034036 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
CORX 32.4153715648 -117.2481803038 79 14.086634 1.914321 14.141436 -14.363940 -0.445209 13.918731 0.039265 0
COSA 33.5687205399 -111.8821618611 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
COSE 39.2014285956 16.3104085925 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
COSO 35.9823427866 -117.8088881235 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
COT1 32.2244560112 -110.9718785003 98 4.718332 1.790267 4.790263 -0.949364 0.042109 0.991473 0.149229 0
COTD 33.7324861401 -116.3868868202 0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1
COVX 36.9046331196 -75.7127008772 5 12.911232 1.293740 12.510193 9.620615 -0.189178 -9.809793 0.355272 0
COYQ -45.5143411927 -71.8920807685 124 6.373862 2.183565 6.716911 -0.824997 0.556055 1.381052 0.009958 0
CRAO 44.4132597208 33.9909822444 184 6.186198 3.201533 5.527643 0.093415 0.133932 0.040517 0.453515 0
