name	lat	lon
BILB	68.065	166.453
BILI	68.076	166.438
BILL	33.578	-117.065
BJCO	6.385	2.45
BJFS	39.609	115.892
BJNM	40.245	116.224
BKMS	33.962	-118.095
BLKV	37.206	-80.415
BLSA	33.8	-118.029
BLYT	33.61	-114.715
BMHL	34.251	-116.053
BMRY	33.963	-116.985
BOGO	52.476	21.035
BOGT	4.64	-74.081
BOMJ	-13.256	-43.422
BOR1	52.277	17.073
BRAN	34.185	-118.277
BRAS	44.122	11.113
BRAZ	-15.947	-47.878
BREW	48.132	-119.683
BRFT	-3.877	-38.426
BRIB	37.919	-122.153
BRIG	42.52	-83.757
BRMU	32.37	-64.696
BRST	48.38	-4.497
BRU1	52.265	-105.525
BRUS	50.798	4.359
BRUX	50.798	4.359
BSAT	-3.077	100.285
BSHM	32.779	35.023
BUCU	44.464	26.126
BUE1	-34.574	-58.519
BUR1	-41.05	145.915
BZRG	46.499	11.337
CABL	42.836	-124.563
CACT	33.655	-115.99
CAGL	39.136	8.973
CAGS	45.585	-75.807
CAGZ	39.136	8.973
CAME	43.112	13.124
CAND	35.939	-120.434
CARR	35.888	-120.431
CAS1	-66.283	110.52
CASA	37.645	-118.897
CASC	38.693	-9.419
CASL	34.345	-77.875
CAST	39.191	-110.677
CAT1	33.446	-118.483
CAT2	33.312	-118.334
CAYA	17.049	-100.267
CBHS	34.139	-118.63
CCCO	33.876	-118.211
CCCS	33.863	-117.865
CCJ2	27.068	142.195
CCJM	27.096	142.185
CCV1	28.46	-80.543
CEDA	40.681	-112.86
CEDU	-31.867	133.81
CENA	65.498	-144.678
CFAG	-31.602	-68.233
CGGN	10.123	9.118
CHA1	32.758	-79.843
CHA2	46.767	4.859
CHAB	37.724	-122.119
CHAT	-43.956	-176.566
CHI1	60.237	-146.647
CHI3	46.176	-65.881
CHIL	34.333	-118.026
CHL1	38.777	-75.088
CHL2	38.777	-75.087
CHME	35.277	-80.889
CHMS	34.64	-117.828
CHPI	-22.687	-44.985
CHR1	36.927	-76.006
CHT1	41.671	-69.95
CHUM	42.999	74.751
CHUR	58.759	-94.089
CHWK	49.157	-122.008
CHZZ	45.487	-123.978
CIC1	31.871	-116.666
CICE	31.871	-116.667
CIRX	34.11	-118.937
CIT1	34.137	-118.127
CJMS	34.314	-117.479
CKIS	-21.201	-159.801
CLAR	34.11	-117.709
CLGO	64.874	-147.86
CMBB	38.034	-120.386
CMP9	34.353	-118.411
CNCL	-43.666	169.856
CNMR	15.23	145.743
CNPP	33.858	-117.609
COCO	-12.188	96.834
COGA	33.545	-82.134
COLA	34.081	-81.122
COLB	39.96	-83.046
CONO	35.703	-81.234
CONZ	-36.844	-73.026
COON	40.653	-112.121
COPO	-27.385	-70.338
COPR	34.415	-119.88
CORB	38.202	-77.373
CORC	39.621	16.557
CORD	-31.528	-64.47
CORV	44.586	-123.305
CORX	32.415	-117.248
COSA	33.569	-111.882
COSE	39.201	16.31
COSO	35.982	-117.809
COT1	32.224	-110.972
COTD	33.732	-116.387
COVX	36.905	-75.713
COYQ	-45.514	-71.892
CRAO	44.413	33.991
CRAR	-77.848	166.668
CREU	42.319	3.316
CRFP	34.039	-117.1
CRHS	33.824	-118.273
CRO1	17.757	-64.584
CRRS	33.07	-115.735
CRU1	34.029	-119.785
CSAR	32.488	34.89
CSCI	34.168	-119.039
CSDH	33.861	-118.257
CSN1	34.254	-118.524
CSST	34.408	-119.371
CTMS	34.124	-116.37
CUHS	34.943	-119.674
CUIB	-15.555	-56.07
CVHS	34.082	-117.902
DAEJ	36.399	127.374
DAKA	14.685	-17.465
DAKR	14.721	-17.439
DAM1	34.334	-118.397
DAM2	34.335	-118.397
DAMY	9.423	42.034
DARR	-12.844	131.133
DARW	-12.844	131.133
DAV1	-68.577	77.973
DAVR	-68.577	77.973
DDSN	43.119	-123.244
DENT	50.934	3.4
DESC	32.83	-116.642
DGAR	-7.27	72.37
DHLG	33.39	-115.788
DIAB	37.879	-121.916
DLFT	51.986	4.388
DNRC	39.16	-75.524
DOAR	17.021	-99.651
DOUR	50.095	4.595
DQUA	34.111	-94.29
DRAG	31.593	35.392
DRAO	49.323	-119.625
DRES	51.03	13.73
DSEA	31.037	35.369
DSHS	34.024	-118.349
DSME	33.036	-117.25
DSSC	33.733	-116.712
DUBO	50.259	-95.866
DUBR	42.65	18.11
DUCK	36.182	-75.751
DUM1	-66.665	140.002
DVLS	33.691	-117.054
DWH1	47.774	-122.08
DYHS	33.938	-118.126
EBRE	40.821	0.492
ECCO	33.887	-118.329
ECFS	33.648	-117.412
EDOC	70.31	-148.318
EGAN	39.345	-114.939
EIL1	64.688	-147.113
EISL	-27.148	-109.383
EKY1	27.6	-82.76
EKY2	27.601	-82.761
ELAT	29.509	34.921
ELEN	16.916	-89.868
ELRO	33.182	35.771
EPRT	44.909	-66.992
ESCO	42.694	0.976
ESTI	13.1	-86.362
EURK	79.989	-85.94
EUSK	50.674	6.764
EWPP	34.104	-117.526
FAA1	-17.555	-149.614
FAIR	64.978	-147.499
FALE	-13.832	-172.0
FALK	-51.694	-57.874
FARB	37.697	-123.001
FDTC	34.245	-79.813
FERN	35.342	-112.455
FFMJ	50.091	8.665
FGST	34.733	-120.009
FIE0	-76.145	168.424
FLIN	54.726	-101.978
FLM5	-77.533	160.271
FMC1	34.697	-76.683
FMC2	34.698	-76.683
FMVT	34.356	-118.884
FOOT	39.369	-113.805
FORT	-3.877	-38.426
FRED	36.988	-112.499
FREE	26.703	-78.993
FREI	-62.194	-58.981
FREO	40.202	-81.258
FTP4	-78.928	162.565
FTS1	56.251	-120.885
FVPK	33.662	-117.936
FXHS	34.081	-118.359
FZHS	34.8	-118.893
GAIT	39.134	-77.221
GAL1	10.147	-60.995
GALA	-0.743	-90.304
GARL	40.417	-119.355
GDAC	37.775	-102.18
GDEC	35.189	-119.864
GENO	44.419	8.921
GILB	32.479	35.416
GLPS	-0.743	-90.304
GLPT	37.249	-76.499
GLRS	33.275	-115.521
GLSV	50.364	30.497
GMAS	27.765	-15.634
GMPK	33.051	-114.827
GMRC	34.784	-115.66
GMSD	30.556	131.016
GNAA	62.112	-145.97
GNPS	34.309	-114.189
GOBS	45.839	-120.815
GODE	39.022	-76.827
GODN	39.021	-76.827
GODS	39.021	-76.827
GODZ	39.022	-76.827
GOL2	35.425	-116.889
GOLD	35.425	-116.889
GOPE	49.914	14.786
GOSH	40.64	-114.18
GOUG	-40.349	-9.881
GRAR	42.989	-85.674
GRAS	43.755	6.921
GRAZ	47.067	15.493
GRNR	63.836	-148.978
GUAM	13.589	144.868
GUAO	43.471	87.177
GUAT	14.59	-90.52
GUAX	28.884	-118.29
GUST	41.463	-80.716
GUUG	13.433	144.803
GVLT	34.83	-82.371
GVRS	34.047	-118.113
HALY	29.139	36.1
HAMD	34.869	48.534
HAMM	30.513	-90.468
HARB	-25.887	27.707
HARK	-25.887	27.708
HART	-25.887	27.708
HARV	34.469	-120.682
HBCO	33.784	-118.286
HBRK	38.305	-97.294
HCMN	34.755	-116.43
HCRO	40.816	-121.47
HEBE	40.514	-111.373
HELG	54.174	7.893
HERS	50.867	0.336
HERT	50.867	0.334
HIL1	-31.826	115.739
HILB	36.053	-79.103
HILO	19.719	-155.053
HIPT	35.966	-80.014
HKLO	35.683	-95.863
HKWS	22.434	114.335
HLFX	44.684	-63.611
HNLC	21.303	-157.865
HNPS	33.705	-115.635
HNPT	38.589	-76.13
HOB2	-42.805	147.439
HOFN	64.267	-15.198
HOGS	35.867	-120.479
HOLB	50.64	-128.135
HOLC	34.458	-117.845
HOLM	70.736	-117.761
HOLP	33.925	-118.168
HOPB	38.995	-123.075
HORN	-43.777	170.106
HRAO	-25.89	27.687
HRM1	51.454	-1.284
HRRN	37.175	38.997
HRST	49.667	-83.511
HUEG	47.834	7.596
HVLK	37.651	-99.107
HVYS	34.441	-119.188
HYDE	17.417	78.551
IAVH	33.976	-6.867
IENG	45.015	7.639
IFRN	33.54	-5.108
IID2	32.706	-115.032
IISC	13.021	77.57
IMPS	34.158	-115.145
IMPZ	-5.492	-47.497
INEG	21.856	-102.284
INVK	68.306	-133.527
IQQE	-20.274	-70.132
IRKJ	52.219	104.316
IRKM	52.219	104.316
IRKT	52.219	104.316
ISPA	-27.125	-109.344
ISTA	41.104	29.019
IUCO	39.174	-86.506
IVCO	32.829	-115.507
IZAD	33.811	42.432
IZBA	30.557	47.67
IZTL	30.947	46.107
JAB1	-12.659	132.894
JAMA	17.939	-76.781
JCT1	30.479	-99.801
JOEN	62.391	30.096
JOZ2	52.098	21.032
JOZE	52.097	21.032
JPLM	34.205	-118.173
JRO1	46.275	-122.218
JSLM	31.771	35.202
JTNT	33.017	-100.977
KABR	33.023	35.145
KAGA	69.222	-49.815
KAN1	39.126	-95.402
KARA	-43.608	169.775
KARL	49.011	8.411
KARR	-20.981	117.097
KAT1	-14.376	132.153
KATZ	32.995	35.689
KAYT	13.987	120.978
KELS	46.118	-122.896
KELY	66.987	-50.945
KEN2	60.675	-151.35
KERG	-49.351	70.256
KGN0	35.707	139.489
KGNI	35.71	139.488
KHAJ	48.521	135.046
KIR0	67.878	21.06
KIRI	1.355	172.923
KIRU	67.857	20.968
KIT3	39.135	66.885
KNGS	44.219	-76.517
KODK	57.735	-152.501
KOK1	21.983	-159.758
KOKB	22.126	-159.665
KOSG	52.178	5.81
KOUC	-20.559	164.287
KOUG	5.098	-52.64
KOUR	5.252	-52.806
KR0G	67.878	21.06
KRTV	50.714	78.619
KSMV	35.955	140.658
KSTU	55.993	92.794
KULU	65.579	-37.149
KUMT	41.864	78.19
KUNM	25.03	102.797
KUUJ	55.278	-77.745
KUWT	29.325	47.971
KWJ1	8.722	167.73
LAE1	-6.674	146.993
LAMA	53.892	20.67
LAMP	35.5	12.606
LAMT	41.005	-73.909
LAND	35.9	-120.473
LANS	42.674	-84.663
LAPC	34.182	-118.575
LARD	52.712	-106.591
LASC	33.928	-118.307
LAUG	34.115	35.674
LAUT	-17.609	177.447
LBC1	33.832	-118.137
LBC2	33.792	-118.173
LBCH	33.788	-118.203
LDES	34.267	-116.433
LDSW	34.699	-116.209
LEEP	34.135	-118.322
LEIJ	51.354	12.374
LFRS	34.095	-118.413
LHAS	29.657	91.104
LHAV	31.378	34.866
LHAZ	29.657	91.104
LHCL	-38.003	-65.595
LHUE	21.985	-159.339
LIND	36.36	-119.058
LINZ	48.31	14.283
LKHU	29.913	-95.146
LKTH	-51.698	-57.851
LKWY	44.565	-110.4
LLAS	34.586	-117.838
LLIV	42.478	1.973
LMNO	36.685	-97.481
LMUT	40.261	-111.928
LONG	34.112	-118.003
LORS	34.133	-117.754
LOWS	35.829	-120.594
LPAL	28.764	-17.894
LPGS	-34.907	-57.932
LPHS	34.027	-117.957
LROC	46.159	-1.219
LUTZ	37.287	-121.865
LVMS	34.734	-119.104
LWN0	-81.346	152.732
MAC1	-54.5	158.936
MAD2	40.429	-4.25
MADR	40.429	-4.25
MAG0	59.576	150.77
MAJU	40.707	-118.437
MAL2	-2.996	40.194
MALD	4.189	73.526
MALI	-2.996	40.194
MANA	12.149	-86.249
MANZ	19.064	-104.298
MAR6	60.595	17.259
MARA	40.004	15.689
MARS	43.279	5.354
MAS1	27.764	-15.633
MASP	27.764	-15.633
MAT1	40.649	16.705
MAT2	33.857	-117.437
MATE	40.649	16.704
MATG	40.649	16.705
MATH	33.857	-117.437
MAUI	20.707	-156.257
MAW1	-67.605	62.871
MAWY	44.973	-110.689
MBAR	-0.601	30.738
MCIL	24.29	153.979
MCM1	56.65	-111.22
MCM4	-77.838	166.669
MDMT	42.418	-121.222
MDO1	30.681	-104.015
MDVJ	56.021	37.215
MDVO	56.027	37.224
MEDI	44.52	11.647
MEM2	35.466	-90.206
MERS	36.566	34.256
METR	42.685	-83.243
METS	60.217	24.395
METZ	49.104	6.198
MHCB	37.342	-121.643
MHMS	33.939	-118.244
MIA3	25.733	-80.16
MIA4	25.733	-80.161
MIDA	35.922	-120.459
MIG1	34.038	-120.351
MIKL	46.973	31.973
MIL1	43.003	-87.888
MINS	37.654	-119.061
MIZU	39.135	141.133
MJPK	33.714	-117.55
MKEA	19.801	-155.456
MLF1	52.868	-104.621
MLFP	33.918	-117.318
MNP1	41.067	-71.86
MOB1	30.228	-88.024
MOBN	55.115	36.57
MOBS	-37.829	144.975
MOIN	9.987	-83.094
MOLA	37.947	-122.42
MONP	32.892	-116.422
MOPI	48.373	17.274
MORP	55.213	-1.685
MPWD	34.296	-118.878
MQZG	-43.703	172.655
MSAI	-1.326	99.089
MSKU	-1.632	13.552
MTBG	47.738	16.404
MTJO	-43.986	170.465
MTKA	35.68	139.561
MUSD	34.262	-119.096
MVFD	33.211	-116.525
NAGA	27.693	85.521
NAIN	56.537	-61.689
NAMA	19.211	42.045
NANO	49.295	-124.086
NAUR	-0.552	166.926
NBPS	34.509	-116.148
NDBC	30.356	-89.61
NDS1	37.302	-95.601
NDSK	37.381	-95.638
NEAH	48.298	-124.625
NEB2	41.264	-96.144
NEB3	46.321	-84.15
NETP	29.791	-95.334
NETT	-43.756	170.061
NEWP	44.585	-124.062
NEWS	39.686	-117.509
NICO	35.141	33.396
NISU	39.995	-105.262
NIUM	-19.077	-169.927
NJI2	40.741	-74.178
NKLG	0.354	9.672
NLIB	41.772	-91.575
NNOR	-31.049	116.193
NOCO	33.92	-117.57
NOPK	33.98	-118.348
NOR3	45.069	-83.569
NOT1	36.876	14.99
NOTO	36.876	14.99
NOUM	-22.27	166.41
NOVJ	55.03	82.909
NPLD	51.421	-0.34
NPRI	41.51	-71.328
NRC1	45.454	-75.624
NRC2	45.454	-75.624
NRIF	30.038	35.036
NRIL	69.362	88.36
NRMD	-22.228	166.485
NSSP	40.226	44.503
NSSS	32.579	-116.973
NTKA	49.592	-126.617
NTUS	1.346	103.68
NUNE	37.963	-122.246
NURK	-1.945	30.09
NVSK	54.841	83.235
NYA1	78.93	11.865
NYAL	78.93	11.865
OAES	34.141	-116.068
OAT2	34.33	-118.601
OBE2	48.086	11.28
OBER	49.118	7.218
OBET	48.084	11.278
OFWY	44.452	-110.832
OGHS	33.131	-117.042
OHI2	-63.321	-57.901
OHI3	-63.321	-57.901
OHIG	-63.321	-57.9
OHIZ	-63.321	-57.901
OKEE	42.914	-82.595
OKOM	34.09	-88.862
OKSO	53.356	-168.162
ONSA	57.395	11.926
OPBL	34.37	-115.918
OPCL	34.428	-116.305
OPCP	34.367	-116.083
OPCX	34.43	-116.149
OPMT	48.836	2.335
OPRD	34.533	-116.292
ORES	34.739	-120.279
ORID	41.127	20.794
ORRO	-35.636	148.939
ORVB	39.555	-121.5
OS0G	57.395	11.926
OSN1	37.078	127.024
OUS2	-45.869	170.511
OUSD	-45.869	170.511
OVLS	34.327	-119.142
OXMT	37.499	-122.424
P003	32.723	-114.005
P011	36.15	-109.519
P015	34.264	-110.009
P026	32.659	-107.195
P028	36.032	-107.908
P034	34.946	-106.459
P035	34.601	-105.184
P036	36.42	-105.294
P038	34.147	-103.407
P039	36.448	-103.154
P040	38.071	-102.687
P059	38.928	-123.726
P066	32.617	-116.17
P067	35.552	-121.003
P107	35.132	-107.88
P123	36.635	-105.911
P157	40.248	-124.308
P159	40.505	-124.283
P171	36.486	-121.793
P182	38.495	-123.181
P189	38.987	-123.348
P210	36.816	-121.732
P212	36.962	-121.863
P231	36.622	-121.905
P278	35.711	-121.061
P284	35.933	-120.907
P295	35.697	-120.842
P312	39.529	-123.698
P471	33.562	-117.541
P472	32.889	-117.105
P473	32.734	-116.95
P474	33.355	-117.249
P476	33.44	-117.19
P477	33.503	-117.113
P478	33.236	-117.072
P479	33.493	-116.783
P480	32.976	-116.349
P482	33.24	-116.671
P483	33.059	-116.569
P484	33.376	-116.621
P485	33.21	-116.409
P486	33.26	-116.322
P490	33.523	-116.426
P491	33.575	-116.227
P494	32.76	-115.732
P495	33.045	-115.628
P496	32.751	-115.596
P497	32.835	-115.577
P498	32.898	-115.57
P499	32.98	-115.488
P500	32.69	-115.3
P501	32.876	-115.398
P502	32.982	-115.422
P504	33.516	-115.766
P505	33.424	-115.687
P506	33.081	-115.51
P507	33.2	-115.612
P508	33.248	-115.429
P509	32.891	-115.294
P510	33.144	-115.343
P511	33.887	-115.296
P514	35.011	-120.41
P515	34.871	-120.24
P516	35.106	-120.383
P523	35.304	-120.86
P525	35.426	-120.808
P526	35.636	-120.87
P528	35.328	-120.545
P576	35.67	-120.97
P607	33.741	-115.821
PABH	47.213	-124.205
PADO	45.411	11.896
PALM	-64.775	-64.051
PAMA	44.8	10.361
PAR1	34.579	-120.644
PARK	-32.999	148.265
PASO	31.77	-106.414
PATT	31.778	-95.719
PBAI	-0.032	98.526
PBL1	37.853	-122.419
PBL2	37.853	-122.419
PBOC	70.256	-148.335
PDEL	37.748	-25.663
PENC	47.79	19.282
PERT	-31.802	115.885
PETP	53.067	158.607
PETR	53.067	158.607
PETS	53.023	158.65
PGC5	48.649	-123.451
PHLW	29.862	31.343
PICL	51.48	-90.162
PIE1	34.302	-108.119
PIMO	14.636	121.078
PIN1	33.612	-116.458
PIN2	33.612	-116.458
PIT1	40.551	-79.697
PKDB	35.945	-120.542
PKTN	39.045	-83.024
PLO1	32.665	-117.243
PLO2	32.666	-117.243
PLO3	32.665	-117.243
PLTC	40.182	-104.726
PMHS	33.903	-118.154
PMOB	33.357	-116.86
PNGM	-2.043	147.366
POHN	6.96	158.21
POL2	42.68	74.694
POLV	49.603	34.543
POMM	35.92	-120.478
POR1	43.071	-70.71
POR2	-32.835	-70.13
POT2	61.056	-146.697
POTR	32.618	-116.591
POTS	52.379	13.066
PPBF	33.836	-117.182
PPT1	37.187	-122.39
PRAT	43.886	11.099
PRCO	34.98	-97.519
PRDS	50.871	-114.293
PRE1	-25.746	28.224
PSAP	33.819	-116.494
PSKI	-1.125	100.353
PSMK	-0.089	97.861
PSU1	40.807	-77.85
PTAL	49.256	-124.861
PTBB	52.296	10.46
PTLO	-0.055	98.28
PTRB	37.996	-123.019
PVE3	33.743	-118.404
PVEP	33.743	-118.404
PVHS	33.779	-118.372
PVRS	33.774	-118.321
PWEL	43.237	-79.22
QAQ1	60.715	-46.048
QIKI	67.559	-64.034
QUAD	50.132	-125.331
QUAR	-43.532	169.816
QUIN	39.975	-120.944
RAAP	33.042	-116.917
RABT	33.998	-6.854
RALR	35.787	-78.639
RAMO	30.598	34.763
RBAY	-28.796	32.078
RBUT	40.781	-111.809
RCA2	34.5	-119.72
RCMN	-1.221	36.893
RDMT	34.644	-116.625
REDM	44.26	-121.148
REDU	50.002	5.145
RESO	74.691	-94.894
REUN	-21.208	55.572
REYK	64.139	-21.955
REYZ	64.139	-21.955
RHCL	34.019	-118.026
RIC1	37.538	-77.43
RICH	39.83	-84.896
RICM	54.413	-1.736
RIGA	56.949	24.059
RIO2	-53.785	-67.751
RIOP	-1.651	-78.651
ROB4	-77.034	163.19
ROCH	33.611	-116.61
ROCK	34.236	-118.676
ROTH	-67.571	-68.126
RTHS	34.089	-117.353
RUBY	40.617	-115.123
S061	-0.215	-78.494
S071	38.92	-77.066
S300	37.667	-121.558
SACY	33.743	-117.896
SAMO	-13.849	-171.738
SAMP	3.622	98.715
SANT	-33.15	-70.669
SAOB	36.765	-121.447
SASK	52.196	-106.398
SATS	46.966	-123.541
SAV2	44.648	7.661
SBCC	33.553	-117.661
SC01	34.068	-106.967
SC04	48.923	-123.704
SCH2	54.832	-66.833
SCIA	34.607	-117.388
SCIP	32.914	-118.488
SCMS	33.444	-117.635
SCOR	70.485	-21.95
SCUB	20.012	-75.762
SEAT	47.654	-122.309
SEDR	48.522	-122.224
SELD	59.446	-151.707
SELE	43.179	77.017
SEY1	-4.674	55.479
SFDM	34.46	-118.755
SFER	36.464	-6.206
SG11	37.332	-99.309
SG21	19.741	-99.189
SG27	71.323	-156.61
SGHS	34.089	-118.109
SGPS	33.913	-116.696
SHAO	31.1	121.2
SHAS	42.621	75.315
SHIN	40.592	-120.225
SHOS	35.971	-116.299
SIBY	42.17	-83.241
SIMO	-34.188	18.44
SIO3	32.865	-117.25
SIO5	32.841	-117.25
SJDV	45.879	4.677
SKYB	34.439	-118.479
SLMS	33.292	-115.978
SLOM	31.228	34.284
SLOR	13.424	-87.437
SMEL	39.426	-112.845
SNFD	35.474	-79.158
SNHS	33.927	-117.929
SNI1	33.248	-119.524
SODA	67.421	26.389
SODB	37.166	-121.926
SOFI	42.556	23.395
SOL1	38.319	-76.454
SOLA	24.911	46.401
SOLO	-9.435	159.954
SOMT	34.32	-119.064
SOWR	42.226	-85.534
SPK1	34.059	-118.646
SPMS	33.993	-117.849
SPMX	31.045	-115.466
SPT0	57.715	12.891
SRP1	33.451	-112.228
SRS1	34.004	-120.065
SSIA	13.697	-89.117
STJO	47.595	-52.678
STKR	39.326	-82.107
STR1	-35.316	149.01
STR2	-35.316	149.01
STRL	38.977	-77.484
SUAA	37.427	-122.173
SULP	49.836	24.014
SUMK	44.208	73.997
SUNM	-27.485	153.035
SUR1	40.675	-111.892
SUTB	39.206	-121.821
SUTH	-32.38	20.81
SUTM	-32.381	20.811
SUVA	-18.146	178.425
SUWN	37.276	127.054
SVTL	60.533	29.781
SYDN	-33.781	151.15
SYOG	-69.007	39.584
TABL	34.382	-117.678
TAEJ	36.374	127.366
TAH1	-17.577	-149.606
TAHI	-17.577	-149.609
TAIW	25.021	121.537
TALA	42.445	72.21
TANZ	-6.766	39.208
TASH	41.328	69.296
TBLP	35.917	-120.36
TCMS	24.798	120.987
TEGU	14.09	-87.206
TEHN	35.697	51.334
TELA	32.068	34.781
TERS	53.363	5.219
TETN	35.562	-5.363
TGCV	16.755	-22.983
THCP	35.158	-118.415
THTI	-17.577	-149.606
THU1	76.537	-68.788
THU2	76.537	-68.825
THU3	76.537	-68.825
TIBB	37.891	-122.448
TID1	-35.399	148.98
TID2	-35.399	148.98
TIDB	-35.399	148.98
TIFF	41.075	-83.15
TILC	37.619	-118.863
TIT2	51.035	6.432
TITZ	51.035	6.432
TIXI	71.634	128.866
TJRN	34.483	-120.133
TLKA	62.308	-150.42
TLSE	43.561	1.481
TMAP	33.641	-116.16
TMGO	40.131	-105.233
TNML	24.798	120.987
TONG	-21.145	-175.179
TORI	45.063	7.661
TORP	33.798	-118.331
TOST	34.248	-118.837
TOUL	43.561	1.481
TOW2	-19.269	147.056
TRAB	40.995	39.776
TRAK	33.618	-117.803
TRND	41.054	-124.151
TRO1	69.663	18.94
TROM	69.663	18.938
TSEA	61.187	-149.895
TSKB	36.106	140.087
TSWY	43.674	-110.597
TUBI	40.787	29.451
TUCU	-26.843	-65.23
TUKT	69.438	-132.994
TUNG	40.403	-118.258
TUVA	-8.525	179.197
TVST	14.034	121.002
TWHL	47.016	-122.923
TWMS	33.972	-117.726
TWTF	24.954	121.165
UCD1	38.536	-121.751
UCLP	34.069	-118.442
UCLU	48.926	-125.542
UCSB	34.413	-119.844
UDMC	33.51	36.285
ULAB	47.865	107.052
UNIV	42.286	-84.386
UNPG	43.119	12.356
UNSA	-24.727	-65.408
UPAD	45.407	11.878
UPO1	20.246	-155.884
UPSA	39.627	-118.802
UPTC	41.629	-79.664
URUM	43.808	87.601
USC1	34.024	-118.285
USGC	33.03	-116.085
USLO	35.312	-120.661
USMX	29.822	-109.681
USN1	38.921	-77.066
USN3	38.921	-77.066
USNA	38.983	-76.479
USNO	38.919	-77.066
USUD	36.133	138.362
UVFM	37.879	-78.694
UZHL	48.632	22.298
VAAS	62.961	21.771
VACS	-20.297	57.497
VALD	48.097	-77.564
VALP	-33.027	-71.626
VAN1	34.827	-120.564
VAN2	34.826	-120.563
VANU	-17.744	168.315
VARD	70.375	31.104
VBCA	-38.701	-62.269
VCAP	44.262	-72.582
VCIO	36.072	-99.217
VDCY	34.179	-118.22
VENE	45.437	12.332
VESL	-71.674	-2.842
VIC1	48.453	-123.543
VIL0	64.698	16.56
VILL	40.444	-3.952
VIMS	37.608	-75.687
VIMT	34.126	-118.514
VIS0	57.654	18.367
VITI	-17.651	177.393
VLNS	54.653	25.299
VLUC	40.231	15.266
VNCO	34.276	-119.238
VNCX	34.293	-118.485
VNDP	34.556	-120.616
VNPS	34.501	-118.121
VTIS	33.713	-118.294
VYAS	34.031	-117.992
WAB2	46.924	7.464
WARE	50.69	5.245
WASR	35.56	-77.059
WATC	37.664	-118.654
WCHS	34.062	-117.911
WDC3	38.921	-77.066
WEL1	-41.273	174.779
WELL	42.995	-79.27
WES2	42.613	-71.493
WEST	-41.745	171.806
WETT	49.144	12.879
WHC1	33.98	-118.031
WHI1	33.974	-118.034
WHIT	60.751	-135.222
WHN0	-79.846	154.22
WHP1	46.771	-84.958
WHYT	33.674	-117.643
WIDC	33.935	-116.392
WIL1	41.305	-76.015
WILL	52.237	-122.168
WIND	-22.575	17.089
WINT	37.653	-122.141
WKPK	34.568	-118.742
WLSN	34.226	-118.056
WMAP	34.259	-118.414
WMOK	34.738	-98.781
WNFL	31.897	-92.782
WOMT	34.669	-116.932
WOOS	40.799	-81.963
