name	lat	lon
AC72	63.695	-145.888
AC74	63.464	-148.807
AC75	62.999	-149.609
AC76	63.04	-143.259
AC77	62.688	-145.426
AC78	63.113	-142.028
AC79	59.998	-147.403
AC80	62.394	-151.765
ACA4	-27.599	153.039
ACAD	47.915	106.972
ACAP	16.822	-99.857
ACCE	44.476	6.988
ACER	40.787	15.942
ACHO	7.415	-80.173
ACHT	45.513	-61.027
ACHU	47.124	3.68
ACL2	-27.27	151.7
ACME	40.102	-79.438
ACNS	41.7	-6.352
ACOM	46.548	13.515
ACOR	43.364	-8.399
ACP1	9.371	-79.95
ACP6	9.238	-79.408
ACPM	-33.447	-70.537
ACQU	38.056	14.588
ACRA	5.558	-0.203
ACSB	33.274	-117.445
ACSO	40.232	-82.982
ACSX	33.274	-117.445
ACTO	43.609	-80.062
ACU2	41.744	-70.886
ACU5	41.744	-70.887
ACU6	41.743	-70.887
ACYA	16.838	-99.903
ADA1	47.307	-96.516
ADAN	37.003	35.344
ADAR	52.789	-4.741
ADAX	43.711	-1.056
ADD0	9.035	38.766
ADD1	9.035	38.766
ADDU	-0.691	73.15
ADE0	16.297	-61.086
ADE1	-34.729	138.647
ADE2	-34.729	138.647
ADEE	57.133	-2.159
ADEL	-34.931	138.604
ADH1	24.383	54.52
ADIS	9.035	38.766
ADIY	37.746	38.23
ADJU	46.095	27.189
ADKS	29.791	-95.586
ADLK	60.717	-138.358
ADLL	42.196	-120.007
ADMI	49.641	-107.948
ADMN	-35.993	148.784
ADN1	39.298	23.127
ADOB	33.689	-111.918
ADRI	41.919	-84.024
ADSJ	39.404	-3.222
ADVT	45.341	-64.788
AEDA	-20.546	-70.178
AEGY	45.186	28.815
AERO	32.807	-117.124
AFAL	46.527	12.175
AFHT	34.351	62.218
AFKB	34.522	69.182
AFKL	34.522	69.182
AFYN	38.738	30.561
AFYT	40.097	23.435
AGCA	8.315	-73.595
AGDE	43.296	3.466
AGDS	43.313	3.474
AGEN	44.173	0.612
AGGO	-34.874	-58.14
AGID	39.718	43.033
AGIG	44.087	28.642
AGIL	45.077	28.892
AGIO	35.192	25.718
AGMC	35.013	-85.189
AGMT	34.594	-116.429
AGNA	39.484	21.847
AGNE	45.468	7.14
AGPR	18.468	-67.111
AGPS	33.34	-111.686
AGR2	40.355	15.828
AGRD	41.849	-1.931
AGRG	37.32	13.601
AGRI	38.624	21.409
AGU1	8.315	-73.595
AGUA	34.248	-112.059
AGUE	40.576	-8.447
AGUI	27.904	-15.446
AHID	42.773	-111.064
AHTI	-38.411	178.046
AHUP	19.379	-155.266
AHVA	31.34	48.684
AHVZ	31.344	48.744
AIAH	33.849	-117.862
AICI	43.334	-1.014
AIES	13.447	-89.05
AIGL	44.121	3.581
AILT	47.877	3.356
AINP	19.373	-155.458
AIR2	51.294	-113.998
AIRA	31.824	130.6
AIRD	51.285	-113.993
AIRP	27.697	85.358
AIRS	16.741	-62.214
AIS5	55.069	-131.6
AIS6	55.069	-131.599
AISD	33.024	-117.086
AISH	61.194	-136.999
AITB	14.079	100.612
AIZK	56.599	25.25
AJAC	41.927	8.763
AJAL	41.216	-2.274
AKAG	61.173	-149.875
AKBG	61.558	-149.782
